site_id,status,location_m,long,lat,long_TF,lat_TF,longitude,latitude,SoundExisting,SoundImpact,SoundNatural,NightBrightness
562,active,gps,-77.14086000,38.91640000,TRUE,TRUE,-77.1408600,38.9164000,47.9593,13.3620,34.5973,4.521900
570,discontinued,gps,-77.10457000,38.95766600,TRUE,TRUE,-77.1045700,38.9576660,47.9444,12.7521,35.1923,5.304570
571,active,gps,-78.86279000,38.42900200,TRUE,TRUE,-78.8627900,38.4290020,50.1420,16.7399,33.4021,2.009520
573,active,gps,-77.12649000,38.83517000,TRUE,TRUE,-77.1264900,38.8351700,50.0562,15.9088,34.1474,6.088040
578,discontinued,gps,-76.33258800,39.51760800,TRUE,TRUE,-76.3325880,39.5176080,48.3264,13.9618,34.3646,1.548410
579,discontinued,gps,-76.58802900,38.96689500,TRUE,TRUE,-76.5880290,38.9668950,46.7412,12.3745,34.3667,1.475240
585,active,gps,-76.94627331,38.94858350,TRUE,TRUE,-76.9462733,38.9485835,51.5125,16.5676,34.9449,7.161780
586,discontinued,gps,-77.14678800,38.89519100,TRUE,TRUE,-77.1467880,38.8951910,47.9342,13.3605,34.5737,5.027410
591,discontinued,gps,-77.13684000,38.85921100,TRUE,TRUE,-77.1368400,38.8592110,50.1275,15.4615,34.6660,5.584950
600,discontinued,gps,-77.08286200,39.46250300,TRUE,TRUE,-77.0828620,39.4625030,44.0380,10.4512,33.5868,0.495131
601,discontinued,gps,-76.34430100,39.54191200,TRUE,TRUE,-76.3443010,39.5419120,47.2911,12.9015,34.3896,2.152740
602,active,gps,-77.06545086,38.93570432,TRUE,TRUE,-77.0654509,38.9357043,53.5091,18.8250,34.6841,8.542940
607,discontinued,gps,-76.94161000,38.91282900,TRUE,TRUE,-76.9416100,38.9128290,52.9594,17.6521,35.3073,9.444260
610,active,gps,-77.04744200,38.92272500,TRUE,TRUE,-77.0474420,38.9227250,55.7869,20.7338,35.0531,15.284900
611,active,gps,-77.30772000,39.09019000,TRUE,TRUE,-77.3077200,39.0901900,44.5138,10.7980,33.7158,1.397630
614,discontinued,gps,-76.95731300,38.88227800,TRUE,TRUE,-76.9573130,38.8822780,51.9560,17.0823,34.8737,9.571140
616,discontinued,gps,-76.58828045,39.09836400,TRUE,TRUE,-76.5882805,39.0983640,47.7239,13.0662,34.6577,2.126500
621,resight-only,gps,-76.96364222,38.89348200,TRUE,TRUE,-76.9636422,38.8934820,55.2372,19.7783,35.4589,10.830600
629,active,gps,-77.32038000,38.37807000,TRUE,TRUE,-77.3203800,38.3780700,38.0032,3.8887,34.1145,0.309395
635,resight-only,gps,-76.74179025,39.27534800,TRUE,TRUE,-76.7417903,39.2753480,50.5885,15.9283,34.6602,4.364830
637,discontinued,gps,-76.48385200,38.93520000,TRUE,TRUE,-76.4838520,38.9352000,46.8464,11.0196,35.8268,1.105150
639,resight-only,gps,-77.10759428,39.01164477,TRUE,TRUE,-77.1075943,39.0116448,47.0733,12.5573,34.5160,4.595710
641,discontinued,gps,-76.34053500,39.71296000,TRUE,TRUE,-76.3405350,39.7129600,43.2160,9.4732,33.7428,0.363081
649,active,gps,-77.15827000,38.89578000,TRUE,TRUE,-77.1582700,38.8957800,49.4933,15.0497,34.4436,4.473850
650,active,gps,-77.07007886,39.17591124,TRUE,TRUE,-77.0700789,39.1759112,46.4245,12.4826,33.9419,1.422740
651,active,gps,-77.34595000,38.96634000,TRUE,TRUE,-77.3459500,38.9663400,47.3848,13.5649,33.8200,3.297230
652,resight-only,gps,-77.11650500,38.96709500,TRUE,TRUE,-77.1165050,38.9670950,47.3768,12.7566,34.6201,4.377610
655,active,gps,-77.24095000,38.88216000,TRUE,TRUE,-77.2409500,38.8821600,49.5718,15.3372,34.2346,4.419310
657,resight-only,gps,-77.29927568,38.93561000,TRUE,TRUE,-77.2992757,38.9356100,46.9547,12.4172,34.5375,2.426520
671,active,gps,-77.05682000,38.93492000,TRUE,TRUE,-77.0568200,38.9349200,53.4069,18.5306,34.8763,8.542940
674,discontinued,gps,-77.01924200,38.98126500,TRUE,TRUE,-77.0192420,38.9812650,48.4339,13.7852,34.6487,7.576660
677,discontinued,gps,-77.22365709,39.25867214,TRUE,TRUE,-77.2236571,39.2586721,46.2540,12.5311,33.7229,1.076490
679,active,gps,-77.10436000,38.95739000,TRUE,TRUE,-77.1043600,38.9573900,48.7160,13.6156,35.1005,5.304570
680,resight-only,gps,-77.08468000,38.97968300,TRUE,TRUE,-77.0846800,38.9796830,46.8586,12.2205,34.6381,5.505720
684,discontinued,gps,-76.49983500,39.03462500,TRUE,TRUE,-76.4998350,39.0346250,47.0715,12.3007,34.7708,1.585550
685,discontinued,gps,-77.04171000,38.92433000,TRUE,TRUE,-77.0417100,38.9243300,55.5732,20.6462,34.9269,15.284900
687,discontinued,gps,-76.59153091,39.37833200,TRUE,TRUE,-76.5915309,39.3783320,47.0252,12.4284,34.5968,4.935040
691,resight-only,gps,-77.10740000,38.94910000,TRUE,TRUE,-77.1074000,38.9491000,47.4641,12.6178,34.8463,5.883460
692,discontinued,gps,-76.50949903,38.99258100,TRUE,TRUE,-76.5094990,38.9925810,48.6588,13.1177,35.5411,1.908090
694,resight-only,gps,-77.11857055,39.00987813,TRUE,TRUE,-77.1185706,39.0098781,47.3414,12.8250,34.5164,4.023290
697,active,gps,-77.06443300,38.98656900,TRUE,TRUE,-77.0644330,38.9865690,46.3031,11.5630,34.7401,5.103550
699,discontinued,gps,-77.42858600,38.81354700,TRUE,TRUE,-77.4285860,38.8135470,47.0659,12.4315,34.6343,2.402670
704,discontinued,gps,-76.31176400,39.70132700,TRUE,TRUE,-76.3117640,39.7013270,40.6792,6.8758,33.8034,0.333452
705,discontinued,gps,-76.95130300,38.95267300,TRUE,TRUE,-76.9513030,38.9526730,52.1094,16.8735,35.2359,7.606440
706,active,gps,-77.06155348,38.97239969,TRUE,TRUE,-77.0615535,38.9723997,47.1415,12.6719,34.4696,5.765180
707,discontinued,gps,-76.53965725,38.79070400,TRUE,TRUE,-76.5396573,38.7907040,43.7871,8.8124,34.9747,0.543885
709,resight-only,gps,-77.11763428,39.00907522,TRUE,TRUE,-77.1176343,39.0090752,47.3047,12.6344,34.6703,4.023290
712,discontinued,gps,-77.12293000,38.94527400,TRUE,TRUE,-77.1229300,38.9452740,48.3538,13.5114,34.8424,4.716610
718,active,gps,-77.05754000,38.97252500,TRUE,TRUE,-77.0575400,38.9725250,47.1515,12.6841,34.4674,5.765180
721,discontinued,gps,-77.00506600,38.97154200,TRUE,TRUE,-77.0050660,38.9715420,50.4436,15.7550,34.6886,7.148950
722,active,gps,-77.00274700,38.97463500,TRUE,TRUE,-77.0027470,38.9746350,50.0869,15.5158,34.5711,7.148950
727,active,map,39.24345000,-76.59459000,FALSE,FALSE,-76.5945900,39.2434500,55.0143,19.1995,35.8148,7.463300
728,discontinued,gps,-76.62704900,39.04588700,TRUE,TRUE,-76.6270490,39.0458870,45.6680,11.5421,34.1258,1.648850
735,resight-only,gps,-77.00353000,39.15022500,TRUE,TRUE,-77.0035300,39.1502250,46.2318,12.0783,34.1535,1.634150
739,resight-only,gps,-76.88435000,39.20756300,TRUE,TRUE,-76.8843500,39.2075630,48.1340,14.0174,34.1166,2.841950
741,resight-only,gps,-77.05332381,39.34846500,TRUE,TRUE,-77.0533238,39.3484650,43.4846,9.6378,33.8468,0.695061
743,discontinued,gps,-76.92705866,39.17456200,TRUE,TRUE,-76.9270587,39.1745620,46.4052,12.2213,34.1839,1.866190
748,active,gps,-77.07861000,38.79320000,TRUE,TRUE,-77.0786100,38.7932000,54.3994,19.7087,34.6907,6.289270
751,discontinued,gps,-76.29944500,39.47934300,TRUE,TRUE,-76.2994450,39.4793430,46.9143,12.5614,34.3529,1.949460
753,discontinued,gps,-77.06668731,38.76102600,TRUE,TRUE,-77.0666873,38.7610260,47.8618,13.2081,34.6537,3.597760
755,discontinued,gps,-76.99706100,39.29659300,TRUE,TRUE,-76.9970610,39.2965930,43.9130,10.0836,33.8294,0.931831
757,active,gps,-77.00161717,38.92413032,TRUE,TRUE,-77.0016172,38.9241303,55.6460,20.8256,34.8204,14.203700
758,discontinued,gps,-76.78587900,39.71066500,TRUE,TRUE,-76.7858790,39.7106650,38.7569,4.9137,33.8431,0.332815
760,resight-only,gps,-77.09862313,38.95856500,TRUE,TRUE,-77.0986231,38.9585650,49.0305,14.2172,34.8134,5.304570
765,discontinued,gps,-76.68026700,38.74348000,TRUE,TRUE,-76.6802670,38.7434800,43.7223,8.7474,34.9749,0.698184
766,resight-only,gps,-76.65637315,38.74651300,TRUE,TRUE,-76.6563732,38.7465130,43.7686,9.5017,34.2670,0.750940
769,discontinued,gps,-77.20770200,39.26878500,TRUE,TRUE,-77.2077020,39.2687850,45.4722,11.7711,33.7011,1.076490
770,discontinued,gps,-76.44529800,39.52025400,TRUE,TRUE,-76.4452980,39.5202540,44.0223,10.3862,33.6361,0.870538
775,resight-only,gps,-76.60785389,39.09820400,TRUE,TRUE,-76.6078539,39.0982040,47.2593,12.9629,34.2963,2.145560
777,discontinued,gps,-77.58940039,38.85026500,TRUE,TRUE,-77.5894004,38.8502650,44.5148,10.2807,34.2341,1.130410
779,discontinued,gps,-76.49981144,38.99312000,TRUE,TRUE,-76.4998114,38.9931200,47.7557,12.4657,35.2900,1.908090
780,active,gps,-77.11954000,38.87374000,TRUE,TRUE,-77.1195400,38.8737400,50.4247,15.6658,34.7589,6.555840
783,discontinued,gps,-76.93021300,39.06435600,TRUE,TRUE,-76.9302130,39.0643560,47.0443,12.4515,34.5928,3.709060
784,resight-only,gps,-76.99685000,38.88323300,TRUE,TRUE,-76.9968500,38.8832330,56.2286,21.4311,34.7976,14.609500
785,discontinued,gps,-77.09230400,39.03618500,TRUE,TRUE,-77.0923040,39.0361850,47.2573,12.8240,34.4333,4.830920
788,resight-only,gps,-76.53508000,38.70396200,TRUE,TRUE,-76.5350800,38.7039620,44.5804,9.8254,34.7550,0.845767
790,resight-only,gps,-76.79920152,38.99516742,TRUE,TRUE,-76.7992015,38.9951674,47.3239,12.9542,34.3697,2.752150
792,discontinued,gps,-76.85308074,39.30451600,TRUE,TRUE,-76.8530807,39.3045160,47.1559,13.2076,33.9484,1.949640
793,discontinued,gps,-76.46445033,38.99788600,TRUE,TRUE,-76.4644503,38.9978860,46.4415,11.6864,34.7551,1.281200
795,active,gps,-77.29872000,39.03615000,TRUE,TRUE,-77.2987200,39.0361500,45.6852,11.9362,33.7490,1.547510
798,discontinued,gps,-77.00659900,38.99457700,TRUE,TRUE,-77.0065990,38.9945770,48.4645,13.8907,34.5738,6.526450
801,active,gps,-76.46768000,39.09271000,TRUE,TRUE,-76.4676800,39.0927100,45.4552,10.4136,35.0416,1.043640
803,resight-only,gps,-77.33961000,38.68771800,TRUE,TRUE,-77.3396100,38.6877180,46.1463,12.1678,33.9785,2.104700
808,discontinued,gps,-77.08213400,38.98600200,TRUE,TRUE,-77.0821340,38.9860020,47.2413,12.6467,34.5947,4.959090
809,discontinued,gps,-77.22274000,38.98484600,TRUE,TRUE,-77.2227400,38.9848460,46.2887,12.1687,34.1200,2.245290
810,discontinued,gps,-77.22272900,38.98484200,TRUE,TRUE,-77.2227290,38.9848420,46.2887,12.1687,34.1200,2.245290
811,active,gps,-77.18272000,38.93399000,TRUE,TRUE,-77.1827200,38.9339900,47.3418,12.7031,34.6387,3.957740
812,resight-only,gps,-76.98375900,39.02495300,TRUE,TRUE,-76.9837590,39.0249530,48.5042,14.0659,34.4383,4.406280
813,resight-only,gps,-76.76243226,38.95584834,TRUE,TRUE,-76.7624323,38.9558483,46.3252,11.8075,34.5176,2.769190
